"","sc"
"1","allmendb.ch"
"2","allmendo.ch"
"3","baddrt.de"
"4","bange.cn"
"5","bayrdrt.de"
"6","biddulph.ca"
"7","brokenh.au"
"8","brookdale.ca"
"9","capmcd.us"
"10","capwhite.us"
"11","cedarsav.us"
"12","cedartrait.us"
"13","chacra.ar"
"14","charleville.au"
"15","ciempoz.es"
"16","cobar.au"
"17","cowidrt.ca"
"18","credoj.au"
"19","credom.au"
"20","elvadrt.ee"
"21","esw.ca"
"22","ethadb.au"
"23","ethadn.au"
"24","falls.au"
"25","gmgranite.us"
"26","gmmolar.us"
"27","haibei.cn"
"28","hard.us"
"29","hoide.de"
"30","hong.cn"
"31","hulun.cn"
"32","hyide.de"
"33","jorndrt.us"
"34","jrnchi.us"
"35","kernb.ca"
"36","kernnu.ca"
"37","kiskun.hu"
"38","konzadrt.us"
"39","lcnorth.cl"
"40","lcsouth.cl"
"41","cerrillos.ar"
"42","lygraint.no"
"43","lygraold.no"
"44","marcdrt.ar"
"45","matador.ca"
"46","ebro.es"
"47","milparinka.au"
"48","mpgranch.us"
"49","naposta.ar"
"50","naqu.cn"
"51","nnss.us"
"52","nplatte.us"
"53","oreaa.us"
"54","oreac.us"
"55","passogavia.it"
"56","paike.ar"
"57","purdue.us"
"58","qdtnorth.cl"
"59","qdtsouth.cl"
"60","quilpie.au"
"61","rhijn.nl"
"62","spvdrt.ar"
"63","sand.us"
"64","scruzh.us"
"65","scruzl.us"
"66","scruzm.us"
"67","sevblack.us"
"68","sevblue.us"
"69","sevmixed.us"
"70","skotsvar.no"
"71","sonora.us"
"72","teshio.jp"
"73","ukulingadrt.za"
"74","urat.cn"
"75","xilin.cn"
"76","yanchi.cn"
"77","yarradrt.au"
