site_code,wc_map,wc_mat
allmendb.ch,1036,9.083333319673935
allmendo.ch,1036,9.083333319673935
ayora.es,423,12.241666654745737
baddrt.de,523,9.274999916553497
bamboo.cn,1056,14.791666706403097
bange.cn,428,-0.2583334371447563
bayrdrt.de,744,8.358333203320703
bfl.us,822,19.81666644414266
biddulph.ca,351,2.4750000635782876
bivensarm.us,1328,20.60000006357829
bldrdrt.us,477,9.05833345403274
brandjberg.dk,579,8.03333342137436
brokenh.au,240,18.21666669845581
brookdale.ca,455,1.7500001788139343
buoya.no,1635,6.441666568319003
capmcd.us,329,21.266666650772095
capwhite.us,219,21.816667159398396
cedarsav.us,744,6.266666645805041
cedartrait.us,744,6.275000010927518
cerrillos.ar,436,20.09166653951009
chacra.ar,373,14.299999912579855
chang.cn,437,5.800000071525574
charleville.au,462,21.049999952316284
chilcasdrt.ar,956,15.191666841506958
ciempoz.es,396,14.791666626930237
cmss.us,373,3.9583332538604736
cobar.au,345,18.94166644414266
cowidrt.ca,1150,9.824999948342642
credoj.au,275,18.766666491826374
credom.au,275,18.766666491826374
dang.cn,419,2.4749999940395355
ebro.es,393,14.958333412806192
eea.br,1411,19.608333269755047
elizwood.us,1098,10.783333281675974
esw.ca,1011,7.549999959766865
ethadb.au,200,24.083333174387615
ethadn.au,200,24.083333174387615
falls.au,1705,5.866666649778684
freiburg.de,900,10.925000011920929
garraf.es,638,14.758333444595337
gigante.pa,2463,26.516666571299236
gmgranite.us,250,16.950000047683716
gmmolar.us,244,17.075000047683716
guaribas.br,1415,24.708333174387615
haibei.cn,469,-0.7000001420577368
hard.us,423,6.074999962002039
haver.no,1223,6.1166666354984045
hoide.de,596,8.291666577259699
hong.cn,703,2.9666667183240256
horizon.cr,1683,26.81666660308838
hubbard.us,1057,6.108333259820938
hulun.cn,360,-1.833333242063721
hyide.de,596,8.291666577259699
indiana.us,1122,11.599999985968074
jenadrt.de,665,8.591666600977382
jilpanger.au,515,14.06666644414266
jorndrt.us,275,15.083333214124044
kernb.ca,363,2.283333341280619
kernnu.ca,363,2.283333341280619
kinsella.ca,401,2.366666595141093
kiskun.hu,521,10.51666671037674
konzadrt.us,889,12.508333155264458
kranz.de,798,7.92499992561837
lcnorth.cl,345,14.391666650772095
lcsouth.cl,338,14.516666571299234
lygraint.no,1979,7.416666736205419
lygraold.no,2083,7.191666652758916
lygrayng.no,1979,7.416666736205419
marcdrt.ar,907,14.324999968210856
matador.ca,357,3.6000000635782876
matta.il,429,16.883333206176758
mattheis.ca,331,4.033333361148834
milparinka.au,227,20.40833322207133
morient.ar,280,14.975000023841858
naposta.ar,729,14.558333158493042
naqu.cn,430,-1.44999993344148
neudamm.na,425,17.583333253860474
noor.ir,1042,13.841666837533316
nplatte.us,287,7.766666640837987
nyngan.au,442,18.599999984105427
oklah.us,915,16.02499993642171
oreaa.us,438,6.916666693985462
oreac.us,436,6.958333301047484
p12.pa,2622,26.549999872843426
p13.pa,2554,26.549999872843426
paike.ar,249,6.616666615009308
passogavia.it,603,-2.591666658719381
pineta.es,992,7.67500006655852
plattev.us,874,8.058333198229471
pneburn.br,1623,21.324999968210857
pneunburn.br,1623,21.324999968210857
pozos.ar,230,7.19999993344148
prades.es,657,11.366666634877523
purdue.us,946,10.374999900658926
qdtnorth.cl,83,14.100000063578287
qdtsouth.cl,86,13.84166677792867
quilpie.au,390,22.00000015894572
rhijn.nl,792,9.725000003973642
riomayo.ar,206,9.466666718324026
sclaudio.ar,1008,15.833333253860474
scruzh.us,871,13.741666634877523
scruzl.us,770,13.983333269755045
scruzm.us,770,13.983333269755045
sedgwick.us,478,15.383333683013916
sevblack.us,256,12.949999958276749
sevblue.us,277,12.758333484331766
sevforest.us,331,11.74166684349378
sevmixed.us,252,13.049999982118607
sgsdrt.us,367,9.116666759053865
sherman.pa,2370,26.125
skotsvar.no,1624,6.666666766007741
slp.us,938,19.46666646003723
sonora.us,562,18.358333587646484
spvdrt.ar,216,13.183333198229471
stubai.at,1039,3.266666660706202
swift.ca,372,4.291666607062022
syferkuil.za,770,16.99999992052714
teshio.jp,1135,5.7166667977968855
thompson.us,1079,8.40833330154419
torla.es,1131,5.850000008940697
ukulingadrt.za,832,17.5666667620341
urat.cn,152,4.8333333532015486
validate.fr,812,8.166666706403097
wayqecha.pe,313,13.275000015894571
wytham.uk,698,9.741666793823242
xilin.cn,338,1.0833333532015483
yanchi.cn,337,8.058333391944567
yarradrt.au,850,17.34166669845581
youyu.cn,390,4.633333404858907
